outcome,wins_f1,losses_f1,draws_f1,height_cm_f1,weight_in_kg_f1,reach_in_cm_f1,significant_strikes_landed_per_minute_f1,significant_striking_accuracy_f1,significant_strikes_absorbed_per_minute_f1,significant_strike_defence_f1,average_takedowns_landed_per_15_minutes_f1,takedown_accuracy_f1,takedown_defense_f1,average_submissions_attempted_per_15_minutes_f1,age_f1,stance_Open Stance_f1,stance_Orthodox_f1,stance_Sideways_f1,stance_Southpaw_f1,stance_Switch_f1,stance_Unknown_f1,rolling_win_rate_f1,wins_f2,losses_f2,draws_f2,height_cm_f2,weight_in_kg_f2,reach_in_cm_f2,significant_strikes_landed_per_minute_f2,significant_striking_accuracy_f2,significant_strikes_absorbed_per_minute_f2,significant_strike_defence_f2,average_takedowns_landed_per_15_minutes_f2,takedown_accuracy_f2,takedown_defense_f2,average_submissions_attempted_per_15_minutes_f2,age_f2,stance_Open Stance_f2,stance_Orthodox_f2,stance_Sideways_f2,stance_Southpaw_f2,stance_Switch_f2,stance_Unknown_f2,rolling_win_rate_f2,diff_wins,diff_losses,diff_draws,diff_height_cm,diff_weight_in_kg,diff_reach_in_cm,diff_significant_strikes_landed_per_minute,diff_significant_striking_accuracy,diff_significant_strikes_absorbed_per_minute,diff_significant_strike_defence,diff_average_takedowns_landed_per_15_minutes,diff_takedown_accuracy,diff_takedown_defense,diff_average_submissions_attempted_per_15_minutes,diff_age,diff_rolling_win_rate
0,18,4,0,180.34,77.11,185.42,5.57,51.0,3.84,63.0,0.13,10.0,64.0,0.1,29.0,0,0,0,0,1,0,0.6,24,7,0,185.42,77.11,198.12,3.77,55.0,4.53,47.0,0.21,100.0,80.0,0.0,32.0,0,0,0,0,1,0,0.8,-6,-3,0,-5.079999999999984,0.0,-12.700000000000017,1.8000000000000003,-4.0,-0.6900000000000004,16.0,-0.07999999999999999,-90.0,-16.0,0.1,-3.0,-0.20000000000000007
0,23,8,1,177.8,70.31,182.88,3.78,49.0,2.62,57.0,2.11,38.0,82.0,0.8,36.0,0,0,0,1,0,0,0.8,12,1,0,182.88,70.31,190.5,5.16,57.0,3.24,44.0,7.95,36.0,90.0,0.8,26.0,0,1,0,0,0,0,1.0,11,7,1,-5.079999999999984,0.0,-7.6200000000000045,-1.3800000000000003,-8.0,-0.6200000000000001,13.0,-5.84,2.0,-8.0,0.0,10.0,-0.19999999999999996
0,22,14,1,170.18,56.7,167.64,3.37,44.0,2.65,57.0,3.71,47.0,59.0,1.1,39.0,0,0,0,1,0,0,0.4,14,4,0,172.72,56.7,172.72,4.0,45.0,3.79,52.0,1.15,27.0,62.0,0.4,30.0,0,1,0,0,0,0,0.4,8,10,1,-2.539999999999992,0.0,-5.0800000000000125,-0.6299999999999999,-1.0,-1.1400000000000001,5.0,2.56,20.0,-3.0,0.7000000000000001,9.0,0.0
1,9,0,0,172.72,65.77,182.88,7.73,52.0,6.33,56.0,0.0,0.0,100.0,0.9,23.0,0,1,0,0,0,0,1.0,4,3,0,182.88,65.77,180.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,1,0,0,0,0,0.4109192890442891,5,-3,0,-10.159999999999997,0.0,2.539999999999992,7.73,52.0,6.33,56.0,0.0,0.0,100.0,0.9,-2.0,0.5890807109557109
0,14,3,0,193.04,120.2,198.12,2.62,47.0,3.97,45.0,0.93,30.0,83.0,0.3,36.0,0,1,0,0,0,0,0.6,7,1,0,195.58,111.13,200.66,12.91,64.0,3.23,55.0,0.0,0.0,80.0,0.0,31.0,0,1,0,0,0,0,1.0,7,2,0,-2.5400000000000205,9.070000000000007,-2.539999999999992,-10.29,-17.0,0.7400000000000002,-10.0,0.93,30.0,3.0,0.3,5.0,-0.4
0,15,10,0,187.96,119.75,190.5,3.66,48.0,4.97,43.0,0.0,0.0,60.0,0.0,33.0,0,0,0,1,0,0,0.0,11,5,0,190.5,119.75,193.04,3.75,52.0,7.5,22.0,4.69,33.0,0.0,0.0,32.0,0,1,0,0,0,0,0.5,4,5,0,-2.539999999999992,0.0,-2.539999999999992,-0.08999999999999986,-4.0,-2.5300000000000002,21.0,-4.69,-33.0,60.0,0.0,1.0,-0.5
1,15,3,0,190.5,83.91,198.12,4.26,46.0,2.62,51.0,0.5,50.0,33.0,0.5,31.0,0,1,0,0,0,0,1.0,18,7,0,182.88,83.91,190.5,3.74,36.0,4.08,59.0,0.56,100.0,85.0,0.0,35.0,0,1,0,0,0,0,0.0,-3,-4,0,7.6200000000000045,0.0,7.6200000000000045,0.5199999999999996,10.0,-1.46,-8.0,-0.06000000000000005,-50.0,-52.0,0.5,-4.0,1.0
1,7,5,0,190.5,92.99,190.5,3.41,51.0,2.55,51.0,0.0,0.0,70.0,0.0,29.0,0,1,0,0,0,0,0.4,9,4,0,200.66,92.99,203.2,1.64,56.0,2.65,44.0,0.0,0.0,50.0,2.3,31.0,0,1,0,0,0,0,0.0,-2,1,0,-10.159999999999997,0.0,-12.699999999999989,1.7700000000000002,-5.0,-0.10000000000000009,7.0,0.0,0.0,20.0,-2.3,-2.0,0.4
1,10,3,0,175.26,83.91,185.42,4.55,58.0,2.36,55.0,5.81,40.0,33.0,0.9,30.0,0,1,0,0,0,0,0.8,37,22,0,185.42,83.91,195.58,3.01,45.0,3.52,53.0,1.82,30.0,42.0,1.4,38.0,0,0,0,1,0,0,0.8,-27,-19,0,-10.159999999999997,0.0,-10.160000000000025,1.54,13.0,-1.1600000000000001,2.0,3.9899999999999993,10.0,-9.0,-0.4999999999999999,-8.0,0.0
1,9,1,0,170.18,61.23,175.26,3.33,42.0,2.8,50.0,1.0,9.0,50.0,0.5,26.0,0,1,0,0,0,0,0.5,16,11,0,170.18,61.23,177.8,3.57,37.0,4.0,53.0,0.59,40.0,58.0,0.5,35.0,0,1,0,0,0,0,0.2,-7,-10,0,0.0,0.0,-2.5400000000000205,-0.23999999999999977,5.0,-1.2000000000000002,-3.0,0.41000000000000003,-31.0,-8.0,0.0,-9.0,0.3
