event,date,source_url,scraped_at,source_order,importance_order,fighter1,fighter2,fighter1_open_odds,fighter2_open_odds,fighter1_current_odds,fighter2_current_odds,fighter1_open_time,fighter2_open_time,fighter1_current_time,fighter2_current_time,matchup_id
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,1,1,Carlston Harris,Jake Matthews,170,-200,250,-300,2026-05-20T17:30:03+00:00,2026-05-20T17:30:03+00:00,2026-05-21T22:34:42+00:00,2026-05-21T22:34:42+00:00,43386
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,2,2,Deiveson Figueiredo,Song Yadong,250,-300,401,-559,2026-05-14T01:12:05+00:00,2026-05-14T01:12:05+00:00,2026-05-21T22:34:42+00:00,2026-05-21T22:34:42+00:00,43324
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,3,3,Ding Meng,Jose Henrique,-250,210,-132,109,2026-05-14T01:20:06+00:00,2026-05-14T01:20:06+00:00,2026-05-21T22:34:42+00:00,2026-05-21T22:34:42+00:00,43331
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,4,4,Rodrigo Vera,Zhu Kangjie,-250,210,-133,110,2026-05-14T01:24:06+00:00,2026-05-14T01:24:06+00:00,2026-05-21T22:34:42+00:00,2026-05-21T22:34:43+00:00,43335
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,5,5,Alonzo Menifield,Zhang Mingyang,250,-300,183,-232,2026-05-14T01:12:05+00:00,2026-05-14T01:12:05+00:00,2026-05-21T22:34:43+00:00,2026-05-21T22:34:43+00:00,43325
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,6,6,Sergei Pavlovich,Tallison Teixeira,-250,210,-524,377,2026-05-14T01:12:05+00:00,2026-05-14T01:12:05+00:00,2026-05-21T22:34:43+00:00,2026-05-21T22:34:43+00:00,43326
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,7,7,Cameron Smotherman,Kai Asakura,285,-350,239,-306,2026-05-14T01:16:06+00:00,2026-05-14T01:16:06+00:00,2026-05-21T22:34:43+00:00,2026-05-21T22:34:43+00:00,43327
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,8,8,Alex Perez,Sumudaerji Sumudaerji,-105,-115,-140,115,2026-05-14T01:16:06+00:00,2026-05-14T01:16:06+00:00,2026-05-21T22:34:43+00:00,2026-05-21T22:34:43+00:00,43328
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,9,9,Luis Felipe Dias,Yi Sak Lee,-185,160,-167,137,2026-05-14T01:20:06+00:00,2026-05-14T01:20:06+00:00,2026-05-21T22:34:44+00:00,2026-05-21T22:34:44+00:00,43330
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,10,10,Aoriqileng,Cody Haddon,250,-300,278,-359,2026-05-14T01:20:06+00:00,2026-05-14T01:20:06+00:00,2026-05-21T22:34:44+00:00,2026-05-21T22:34:44+00:00,43332
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,11,11,Angela Hill,Xiong Jingnan,165,-190,191,-244,2026-05-14T01:24:06+00:00,2026-05-14T01:24:06+00:00,2026-05-21T22:34:44+00:00,2026-05-21T22:34:44+00:00,43334
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,12,12,Jesus Aguilar,Rei Tsuruya,280,-340,260,-340,2026-05-14T01:24:06+00:00,2026-05-14T01:24:06+00:00,2026-05-21T22:34:44+00:00,2026-05-21T22:34:44+00:00,43333
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,13,13,Jaqueline Amorim,Loma Lookboonmee,-250,210,-117,-106,2026-05-14T01:24:06+00:00,2026-05-14T01:24:06+00:00,2026-05-21T22:34:44+00:00,2026-05-21T22:34:45+00:00,43336
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,14,14,Jose Henrique,Meng Ding,-105,-125,103,-132,2026-05-16T06:36:39+00:00,2026-05-16T06:36:39+00:00,2026-05-21T22:34:45+00:00,2026-05-21T22:34:45+00:00,43338
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,15,15,Ramon Taveras,Zhu Kangjie,-175,130,-175,130,2026-05-16T06:36:39+00:00,2026-05-16T06:36:39+00:00,2026-05-21T22:34:45+00:00,2026-05-21T22:34:45+00:00,43339
UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188,2026-05-21T22:34:45.701572+00:00,16,16,Kangjie Zhu,Rodrigo Vera,112,-137,112,-137,2026-05-21T13:30:25+00:00,2026-05-21T13:30:25+00:00,2026-05-21T22:34:45+00:00,2026-05-21T22:34:45+00:00,43404
