,2_1_EVENT,2_1_name,2_1_wins,2_1_losses,2_1_draws,2_1_height_cm,2_1_weight_in_kg,2_1_reach_in_cm,2_1_significant_strikes_landed_per_minute,2_1_significant_striking_accuracy,2_1_significant_strikes_absorbed_per_minute,2_1_significant_strike_defence,2_1_average_takedowns_landed_per_15_minutes,2_1_takedown_accuracy,2_1_takedown_defense,2_1_average_submissions_attempted_per_15_minutes,2_1_age,2_1_stance_Open Stance,2_1_stance_Orthodox,2_1_stance_Sideways,2_1_stance_Southpaw,2_1_stance_Switch,2_1_stance_Unknown,2_1_rolling_win_rate,2_name,2_wins,2_losses,2_draws,2_height_cm,2_weight_in_kg,2_reach_in_cm,2_significant_strikes_landed_per_minute,2_significant_striking_accuracy,2_significant_strikes_absorbed_per_minute,2_significant_strike_defence,2_average_takedowns_landed_per_15_minutes,2_takedown_accuracy,2_takedown_defense,2_average_submissions_attempted_per_15_minutes,2_age,2_stance_Open Stance,2_stance_Orthodox,2_stance_Sideways,2_stance_Southpaw,2_stance_Switch,2_stance_Unknown,2_rolling_win_rate,outcome
0,UFC 314: Volkanovski vs. Lopes ,alexander volkanovski,26.0,3.0,0.0,167.64,65.77,180.34,6.19,57.0,3.42,58.0,1.84,37.0,70.0,0.2,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,diego lopes,23.0,6.0,0.0,180.34,65.77,182.88,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0
1,UFC 314: Volkanovski vs. Lopes ,michael chandler,23.0,8.0,0.0,172.72,70.31,180.34,4.89,46.0,4.58,46.0,2.17,38.0,71.0,0.9,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,paddy pimblett,20.0,3.0,0.0,177.8,70.31,185.42,4.19,46.0,3.48,41.0,0.97,25.0,56.0,2.4,30.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
2,UFC 314: Volkanovski vs. Lopes ,yair rodriguez,16.0,4.0,0.0,180.34,65.77,180.34,4.63,46.0,4.07,51.0,0.73,28.0,59.0,0.7,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,patricio freire,26.0,4.0,0.0,165.1,65.77,165.1,2.84,41.0,4.43,60.0,0.6,18.0,94.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4092429168601951,0
3,UFC 314: Volkanovski vs. Lopes ,bryce mitchell,16.0,2.0,0.0,177.8,65.77,177.8,2.34,58.0,1.64,58.0,3.51,41.0,33.0,1.6,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,jean silva,11.0,2.0,0.0,170.18,65.77,175.26,5.8,48.0,4.73,55.0,1.0,33.0,100.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
4,UFC 314: Volkanovski vs. Lopes ,bryce mitchell,16.0,2.0,0.0,177.8,65.77,177.8,2.34,58.0,1.64,58.0,3.51,41.0,33.0,1.6,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,jean silva,19.0,12.0,3.0,167.64,72.57,181.80887362637364,0.73,22.0,2.93,52.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
5,UFC 314: Volkanovski vs. Lopes ,nikita krylov,30.0,9.0,0.0,190.5,92.99,195.58,4.38,55.0,2.47,44.0,2.29,38.0,53.0,1.4,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,dominick reyes,12.0,4.0,0.0,193.04,92.99,195.58,4.75,50.0,3.77,48.0,0.36,28.0,80.0,0.4,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0
6,UFC 314: Volkanovski vs. Lopes ,dan ige,17.0,7.0,0.0,170.18,65.77,180.34,3.76,45.0,3.53,57.0,1.07,26.0,58.0,0.3,33.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,sean woodson,10.0,1.0,1.0,187.96,65.77,198.12,5.41,46.0,4.0,57.0,0.71,80.0,83.0,0.5,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0
7,UFC 314: Volkanovski vs. Lopes ,yan xiaonan,17.0,3.0,0.0,165.1,52.16,160.02,5.55,44.0,3.56,61.0,0.86,66.0,70.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,virna jandiroba,19.0,3.0,0.0,160.02,52.16,162.56,2.34,40.0,3.03,56.0,2.42,39.0,73.0,1.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0
8,UFC 314: Volkanovski vs. Lopes ,jim miller,36.0,17.0,0.0,172.72,70.31,180.34,2.86,41.0,3.08,58.0,1.56,43.0,48.0,1.8,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,chase hooper,13.0,3.0,1.0,185.42,70.31,187.96,4.86,51.0,3.59,36.0,1.42,22.0,55.0,2.2,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0
9,UFC 314: Volkanovski vs. Lopes ,darren elkins,28.0,11.0,0.0,177.8,65.77,180.34,3.44,38.0,3.27,52.0,2.85,35.0,56.0,1.1,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,julian erosa,28.0,12.0,0.0,185.42,65.77,187.96,6.22,48.0,6.35,47.0,1.66,46.0,61.0,0.6,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0
