event,date,fighter1,fighter2,f1_open,f2_open,f1_close,f2_close,f1_odds,f2_odds,f1_open_ts,f2_open_ts,f1_close_ts,f2_close_ts,f1_history_points,f2_history_points,f1_books,f2_books,matchup_id,source_url
UFC 327,,Azamat Murzakanov,Paulo Costa,-230,190,-161,188,-161,188,2026-03-29T21:50:25+00:00,2026-03-29T21:50:25+00:00,2026-04-12T03:22:32+00:00,2026-04-12T03:22:32+00:00,257,257,6,6,42659,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Carlos Ulberg,Jiri Prochazka,-170,145,-128,362,-128,362,2026-02-28T14:40:06+00:00,2026-02-28T14:40:06+00:00,2026-04-12T03:52:31+00:00,2026-04-12T03:52:31+00:00,303,303,6,6,41921,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Curtis Blaydes,Josh Hokit,-160,140,189,-127,189,-127,2026-03-27T19:06:07+00:00,2026-03-27T19:06:07+00:00,2026-04-12T02:50:31+00:00,2026-04-12T02:50:31+00:00,286,286,7,7,42657,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Dominick Reyes,Johnny Walker,-150,130,-164,142,-164,142,2026-03-27T19:06:07+00:00,2026-03-27T19:06:07+00:00,2026-04-12T02:12:32+00:00,2026-04-12T02:12:32+00:00,249,249,7,7,42656,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Cub Swanson,Nate Landwehr,135,-155,-141,142,-141,142,2026-03-27T19:08:06+00:00,2026-03-27T19:08:06+00:00,2026-04-12T01:28:31+00:00,2026-04-12T01:28:31+00:00,410,410,7,7,42661,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Aaron Pico,Patricio Freire,-210,180,-309,831,-309,831,2026-03-27T19:06:07+00:00,2026-03-27T19:06:07+00:00,2026-04-12T00:58:32+00:00,2026-04-12T00:58:32+00:00,197,197,5,5,42660,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Kevin Holland,Randy Brown,109,-129,-141,468,-141,468,2026-03-27T19:08:06+00:00,2026-03-27T19:08:06+00:00,2026-04-12T00:30:32+00:00,2026-04-12T00:30:32+00:00,309,309,6,6,42663,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Esteban Ribovics,Mateusz Gamrot,165,-190,337,-264,337,-264,2026-03-27T19:08:06+00:00,2026-03-27T19:08:06+00:00,2026-04-11T23:46:32+00:00,2026-04-11T23:46:32+00:00,195,195,6,6,42662,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Lupita Godinez,Tatiana Suarez,190,-225,192,-182,192,-182,2026-03-27T19:06:07+00:00,2026-03-27T19:06:07+00:00,2026-04-11T23:18:32+00:00,2026-04-11T23:18:32+00:00,243,243,7,7,42658,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Chris Padilla,Marquel Mederos,-150,130,-186,690,-186,690,2026-04-02T20:54:06+00:00,2026-04-02T20:54:06+00:00,2026-04-11T22:58:32+00:00,2026-04-11T22:58:32+00:00,390,390,6,6,42726,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Kelvin Gastelum,Vicente Luque,-200,170,-233,201,-233,201,2026-03-27T19:08:06+00:00,2026-03-27T19:08:06+00:00,2026-04-11T22:20:31+00:00,2026-04-11T22:20:31+00:00,174,174,6,6,42664,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Charles Radtke,Francisco Prado,-250,210,-185,341,-185,341,2026-04-02T20:54:06+00:00,2026-04-02T20:54:06+00:00,2026-04-11T22:02:32+00:00,2026-04-11T22:02:32+00:00,265,265,6,7,42727,https://www.bestfightodds.com/events/ufc-327-4074
UFC 326,2026-03-07,Jesus Aguilar,Sumudaerji Sumudaerji,185,-215,147,-177,147,-177,2026-02-12T17:24:03+00:00,2026-02-12T17:24:03+00:00,2026-03-07T23:38:24+00:00,2026-03-07T23:38:24+00:00,80,80,5,5,41741,https://www.bestfightodds.com/events/ufc-326-4065
UFC 326,2026-03-07,Diyar Nurgozhay,Rafael Tobias,250,-300,146,-179,146,-179,2026-02-12T17:22:03+00:00,2026-02-12T17:22:03+00:00,2026-03-07T23:10:24+00:00,2026-03-07T23:10:24+00:00,69,69,5,5,41739,https://www.bestfightodds.com/events/ufc-326-4065
UFC 326,2026-03-07,Luke Fernandez,Rodolfo Bellato,-125,105,-231,187,-231,187,2026-02-12T17:24:03+00:00,2026-02-12T17:24:03+00:00,2026-03-07T22:42:05+00:00,2026-03-07T22:42:05+00:00,43,43,5,5,41744,https://www.bestfightodds.com/events/ufc-326-4065
UFC Fight Night: UFC Fight Night 206,2022-04-16,Belal Muhammad,Vicente Luque,180,-210,153,-182,153,-182,2022-03-24T03:30:11+00:00,2022-03-24T03:30:11+00:00,2022-04-17T03:28:28+00:00,2022-04-17T03:28:28+00:00,160,160,7,7,25893,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Caio Borralho,Gadzhi Omargadzhiev,130,-150,103,-125,103,-125,2022-03-24T03:32:10+00:00,2022-03-24T03:32:10+00:00,2022-04-17T02:46:28+00:00,2022-04-17T02:46:28+00:00,137,137,7,7,25856,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Andre Fialho,Miguel Baeza,120,-140,145,-175,145,-175,2022-03-24T03:32:10+00:00,2022-03-24T03:32:10+00:00,2022-04-17T02:24:28+00:00,2022-04-17T02:24:28+00:00,114,114,7,7,26599,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Mayra Bueno Silva,Yanan Wu,-110,-110,-523,382,-523,382,2022-03-24T03:30:11+00:00,2022-03-24T03:30:11+00:00,2022-04-17T01:52:28+00:00,2022-04-17T01:52:28+00:00,146,146,7,7,26122,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Pat Sabatini,T.J. Laramie,-240,205,-560,403,-560,403,2022-03-24T03:30:11+00:00,2022-03-24T03:30:11+00:00,2022-04-17T01:22:30+00:00,2022-04-17T01:22:30+00:00,151,151,7,7,26510,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Chris Barnett,Martin Buday,120,-140,228,-283,228,-283,2022-03-24T03:30:11+00:00,2022-03-24T03:30:11+00:00,2022-04-16T22:46:29+00:00,2022-04-16T22:46:29+00:00,192,192,7,7,25847,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Ange Loosa,Mounir Lazzez,210,-250,236,-225,236,-225,2022-04-12T18:36:12+00:00,2022-04-12T18:36:12+00:00,2022-04-17T01:04:33+00:00,2022-04-17T01:04:33+00:00,113,113,7,6,26824,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Devin Clark,William Knight,-150,130,-176,146,-176,146,2022-04-01T23:56:09+00:00,2022-04-01T23:56:09+00:00,2022-04-17T00:15:30+00:00,2022-04-17T00:15:30+00:00,76,76,7,7,26748,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Lina Akhtar Lansberg,Pannie Kianzad,250,-300,359,-480,359,-480,2022-03-24T03:32:10+00:00,2022-03-24T03:32:10+00:00,2022-04-16T23:48:29+00:00,2022-04-16T23:48:29+00:00,117,117,7,7,25905,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Brandon Jenkins,Drakkar Klose,220,-260,443,-631,443,-631,2022-03-24T03:32:10+00:00,2022-03-24T03:32:10+00:00,2022-04-16T23:32:29+00:00,2022-04-16T23:32:29+00:00,150,150,7,7,25803,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Jesse Ronson,Rafa Garcia,140,-160,-138,116,-138,116,2022-03-24T03:30:11+00:00,2022-03-24T03:30:11+00:00,2022-04-17T00:00:24+00:00,2022-04-17T00:00:24+00:00,156,156,7,7,25814,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Jordan Leavitt,Trey Ogden.,-155,135,117,-142,117,-142,2022-03-29T00:18:07+00:00,2022-03-29T00:18:07+00:00,2022-04-17T00:00:24+00:00,2022-04-17T00:00:24+00:00,120,120,7,7,26635,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Elizeu Zaleski Dos Santos,Mounir Lazzez,-225,190,-190,155,-190,155,2022-03-27T17:12:22+00:00,2022-03-27T17:12:22+00:00,2022-04-10T23:22:25+00:00,2022-04-10T23:22:25+00:00,3,3,1,1,26080,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Jordan Leavitt,Victor Martinez,-145,120,-145,120,-145,120,2022-03-27T17:14:23+00:00,2022-03-27T17:14:23+00:00,2022-03-27T17:14:23+00:00,2022-03-27T17:14:23+00:00,1,1,1,1,26142,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Istela Nunes,Sam Hughes,-210,180,-241,196,-241,196,2022-03-24T03:30:11+00:00,2022-03-24T03:30:11+00:00,2022-04-16T21:47:29+00:00,2022-04-16T21:47:29+00:00,91,91,7,7,26598,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: UFC Fight Night 206,2022-04-16,Heili Alateng,Kevin Croom,-140,120,-178,149,-178,149,2022-03-24T03:32:10+00:00,2022-03-24T03:32:10+00:00,2022-04-16T21:33:29+00:00,2022-04-16T21:33:29+00:00,81,81,7,7,26461,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC 324,2026-01-24,Denzel Freeman,Josh Hokit,180,-210,209,-260,209,-260,2025-12-22T12:00:02+00:00,2025-12-22T12:00:02+00:00,2026-01-24T23:36:06+00:00,2026-01-24T23:36:06+00:00,68,68,6,6,41210,https://www.bestfightodds.com/events/ufc-324-3973
UFC 324,2026-01-24,Alexander Hernandez,Michael Johnson,-215,164,-114,-106,-114,-106,2025-12-23T21:06:31+00:00,2025-12-23T21:06:31+00:00,2026-01-24T19:52:22+00:00,2026-01-24T19:52:22+00:00,63,63,5,5,41200,https://www.bestfightodds.com/events/ufc-324-3973
UFC 324,2026-01-24,Adam Fugitt,Ty Miller,250,-300,368,-487,368,-487,2025-12-28T03:30:02+00:00,2025-12-28T03:30:02+00:00,2026-01-24T23:01:30+00:00,2026-01-24T23:01:30+00:00,77,77,6,6,41238,https://www.bestfightodds.com/events/ufc-324-3973
