event,date,fighter1,fighter2,f1_odds,f2_odds,f1_books,f2_books,source_url
UFC Vegas 116,2026-04-25,Aljamain Sterling,Youssef Zalal,112,-134,6,6,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Joselyne Edwards,Norma Dumont,172,-210,7,7,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Davey Grant,Juan Martinetti,-121,-2,2,2,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Adrian Luna Martinetti,Davey Grant,-103,-121,3,3,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Alexander Hernandez,Rafa Garcia,-120,100,7,6,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Montel Jackson,Raoni Barcelos,-210,170,7,7,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Eric McConico,Rodolfo Vieira,300,-385,6,6,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Marcus Buchecha,Ryan Spann,-155,125,7,7,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Jackson McVey,Sedriques Dumas,-188,158,7,7,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Mayra Bueno Silva,Michelle Montague,340,-440,5,5,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Cody Durden,Jafel Filho,480,-600,5,6,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Francis Marshall,Lucas Brennan,-500,360,5,5,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Max Griffin,Victor Valenzuela,110,-133,6,6,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Julia Polastri,Talita Alencar,-250,195,5,5,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Vegas 116,2026-04-25,Jafel Filho,Lucas Rocha,-219,165,1,1,https://www.bestfightodds.com/events/ufc-vegas-116-4147
UFC Winnipeg,2026-04-19,Gilbert Burns,Mike Malott,210,-275,6,6,https://www.bestfightodds.com/events/ufc-winnipeg-4145
UFC Winnipeg,2026-04-19,Charles Jourdain,Kyler Phillips,-154,125,7,7,https://www.bestfightodds.com/events/ufc-winnipeg-4145
UFC Winnipeg,2026-04-19,Jasmine Jasudavicius,Karine Silva,-345,260,6,6,https://www.bestfightodds.com/events/ufc-winnipeg-4145
UFC Winnipeg,2026-04-19,Jai Herbert,Mandel Nallo,145,-175,7,7,https://www.bestfightodds.com/events/ufc-winnipeg-4145
UFC Winnipeg,2026-04-19,Gauge Young,Thiago Moises,-162,136,6,7,https://www.bestfightodds.com/events/ufc-winnipeg-4145
UFC Winnipeg,2026-04-19,Dennis Buzukja,Marcio Barbosa,305,-395,6,6,https://www.bestfightodds.com/events/ufc-winnipeg-4145
UFC Winnipeg,2026-04-18,Julien Leblanc,Robert Valentin,142,-177,6,5,https://www.bestfightodds.com/events/ufc-winnipeg-4130
UFC Winnipeg,2026-04-18,Gokhan Saricam,Tanner Boser,-158,126,6,6,https://www.bestfightodds.com/events/ufc-winnipeg-4130
UFC Winnipeg,2026-04-18,Daria Zhelezniakova,Melissa Croden,116,-142,7,6,https://www.bestfightodds.com/events/ufc-winnipeg-4130
UFC Winnipeg,2026-04-18,Jamey-Lyn Horth,Jj Aldrich,-182,153,6,6,https://www.bestfightodds.com/events/ufc-winnipeg-4130
UFC Winnipeg,2026-04-18,John Castaneda,Mark Vologdin,-163,132,7,7,https://www.bestfightodds.com/events/ufc-winnipeg-4130
UFC Winnipeg,2026-04-18,Jamie Siraj,John Yannis,-260,205,6,6,https://www.bestfightodds.com/events/ufc-winnipeg-4130
UFC Winnipeg,2026-04-18,Allan Nascimento,Mitch Raposo,-176,145,1,1,https://www.bestfightodds.com/events/ufc-winnipeg-4130
