event,date,fighter1,fighter2,f1_open,f2_open,f1_close,f2_close,f1_odds,f2_odds,f1_open_ts,f2_open_ts,f1_close_ts,f2_close_ts,f1_history_points,f2_history_points,f1_books,f2_books,matchup_id,source_url
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Din Thomas,Kenny Florian,155,-175,140,-160,140,-160,2007-08-19T21:30:29+00:00,2007-08-19T21:30:29+00:00,2007-09-19T09:30:25+00:00,2007-09-19T09:30:25+00:00,8,8,0,0,99,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Kuniyoshi Hironaka,Thiago Alves,125,-165,190,-230,190,-230,2007-07-12T15:08:09+00:00,2007-07-12T15:08:09+00:00,2007-09-19T21:31:02+00:00,2007-09-19T21:31:02+00:00,11,11,0,0,66,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Chris Leben,Terry Martin,160,-200,200,-240,200,-240,2007-08-18T21:30:38+00:00,2007-08-18T21:30:38+00:00,2007-09-20T03:00:28+00:00,2007-09-20T03:00:28+00:00,11,11,0,0,82,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Nate Quarry,Pete Sell,-360,253,-220,180,-220,180,2007-08-18T21:30:38+00:00,2007-08-18T21:30:38+00:00,2007-09-19T17:30:31+00:00,2007-09-19T17:30:31+00:00,9,9,0,0,104,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Junior Assuncao,Nate Diaz,175,-210,175,-210,175,-210,2007-09-19T14:00:25+00:00,2007-09-19T14:00:25+00:00,2007-09-19T18:00:45+00:00,2007-09-19T18:00:45+00:00,3,3,0,0,100,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Gray Maynard,Joe Veres,-300,250,-280,240,-280,240,2007-09-19T14:00:25+00:00,2007-09-19T14:00:25+00:00,2007-09-19T17:30:31+00:00,2007-09-19T17:30:31+00:00,2,2,0,0,101,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Edilberto Crocota,Luke Cummo,100,-120,-110,-110,-110,-110,2007-09-19T14:00:25+00:00,2007-09-19T14:00:25+00:00,2007-09-19T21:31:02+00:00,2007-09-19T21:31:02+00:00,4,4,0,0,102,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Cole Miller,Leonard Garcia,-135,115,-135,115,-135,115,2007-09-19T14:00:25+00:00,2007-09-19T14:00:25+00:00,2007-09-19T20:30:48+00:00,2007-09-19T20:30:48+00:00,5,5,0,0,103,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC Fight Night 11: Thomas vs Florian,2007-09-19,Dustin Hazelett,Jonathan Goulet,115,-135,110,-130,110,-130,2007-09-19T14:00:25+00:00,2007-09-19T14:00:25+00:00,2007-09-19T19:00:32+00:00,2007-09-19T19:00:32+00:00,4,4,0,0,136,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Gilbert Burns,Tyron Woodley,125,-145,161,-186,161,-186,2020-05-10T05:51:07+00:00,2020-05-10T05:51:07+00:00,2020-05-31T03:21:05+00:00,2020-05-31T03:21:05+00:00,146,146,0,0,20275,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Hannah Cifers,Mackenzie Dern,175,-245,397,-511,397,-511,2020-05-10T20:54:03+00:00,2020-05-10T20:54:03+00:00,2020-05-31T01:18:07+00:00,2020-05-31T01:18:07+00:00,91,91,0,0,20249,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Jamahal Hill,Klidson Abreu,-175,135,-148,125,-148,125,2020-05-10T20:54:04+00:00,2020-05-10T20:54:04+00:00,2020-05-30T23:48:07+00:00,2020-05-30T23:48:07+00:00,109,109,0,0,20267,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Augusto Sakai,Blagoy Ivanov,100,-140,-128,106,-128,106,2020-05-11T06:28:00+00:00,2020-05-11T06:28:00+00:00,2020-05-31T02:42:04+00:00,2020-05-31T02:42:04+00:00,65,65,0,0,20277,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Brok Weaver,Roosevelt Roberts,210,-290,300,-372,300,-372,2020-05-22T07:54:20+00:00,2020-05-22T07:54:20+00:00,2020-05-31T01:39:04+00:00,2020-05-31T01:39:04+00:00,52,52,0,0,20288,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Brandon Royval,Tim Elliott,140,-180,121,-143,121,-143,2020-05-22T07:54:20+00:00,2020-05-22T07:54:20+00:00,2020-05-30T23:18:07+00:00,2020-05-30T23:18:07+00:00,61,61,0,0,20289,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Antonina Shevchenko,Katlyn Chookagian,-140,100,-147,125,-147,125,2020-05-22T07:54:20+00:00,2020-05-22T07:54:20+00:00,2020-05-31T00:45:04+00:00,2020-05-31T00:45:04+00:00,113,113,0,0,20290,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Chris Gutierrez,Vince Morales,-150,110,-122,101,-122,101,2020-05-22T07:54:20+00:00,2020-05-22T07:54:20+00:00,2020-05-30T22:27:09+00:00,2020-05-30T22:27:09+00:00,71,71,0,0,20291,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Casey Kenney,Louis Smolka,-280,200,-284,237,-284,237,2020-05-22T07:54:20+00:00,2020-05-22T07:54:20+00:00,2020-05-30T22:54:07+00:00,2020-05-30T22:54:07+00:00,60,60,0,0,20294,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Billy Quarantillo,Spike Carlyle,-170,130,-117,-104,-117,-104,2020-05-22T08:33:59+00:00,2020-05-22T08:33:59+00:00,2020-05-31T02:09:07+00:00,2020-05-31T02:09:07+00:00,71,71,0,0,20298,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Daniel Rodriguez,Kevin Holland,155,-195,181,-217,181,-217,2020-05-23T06:33:19+00:00,2020-05-23T06:33:19+00:00,2020-05-26T12:45:15+00:00,2020-05-26T12:45:15+00:00,21,21,0,0,20301,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC on ESPN 9: Woodley vs. Burns,2020-05-30,Daniel Rodriguez,Gabriel Green,-265,225,-359,290,-359,290,2020-05-27T04:58:37+00:00,2020-05-27T04:58:37+00:00,2020-05-31T00:12:07+00:00,2020-05-31T00:12:07+00:00,50,50,0,0,20325,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC 327,,Azamat Murzakanov,Paulo Costa,-230,190,-161,188,-161,188,2026-03-29T21:50:25+00:00,2026-03-29T21:50:25+00:00,2026-04-12T03:22:32+00:00,2026-04-12T03:22:32+00:00,257,257,6,6,42659,https://www.bestfightodds.com/events/ufc-327-4074
UFC 327,,Carlos Ulberg,Jiri Prochazka,-170,145,-128,362,-128,362,2026-02-28T14:40:06+00:00,2026-02-28T14:40:06+00:00,2026-04-12T03:52:31+00:00,2026-04-12T03:52:31+00:00,303,303,6,6,41921,https://www.bestfightodds.com/events/ufc-327-4074
