event,event_date,location,bout,fighter1,fighter2,fighter1_key,fighter2_key,weightclass,method,scheduled_time_format,outcome,f1_height_cm,f1_weight_in_kg,f1_reach_in_cm,f1_age,f1_stance,f1_fights_before,f1_wins_before,f1_losses_before,f1_draws_before,f1_no_contests_before,f1_win_rate_before,f1_ko_tko_win_rate_before,f1_submission_win_rate_before,f1_decision_win_rate_before,f1_ko_tko_loss_rate_before,f1_submission_loss_rate_before,f1_decision_loss_rate_before,f1_slpm_before,f1_striking_accuracy_before,f1_sapm_before,f1_striking_defense_before,f1_td_avg_before,f1_td_accuracy_before,f1_td_defense_before,f1_sub_avg_before,f1_kd_avg_before,f1_kd_absorbed_avg_before,f1_ctrl_avg_before,f1_current_win_streak_before,f1_current_loss_streak_before,f1_recent_3_win_rate_before,f1_recent_5_win_rate_before,f1_days_since_last_fight,f2_height_cm,f2_weight_in_kg,f2_reach_in_cm,f2_age,f2_stance,f2_fights_before,f2_wins_before,f2_losses_before,f2_draws_before,f2_no_contests_before,f2_win_rate_before,f2_ko_tko_win_rate_before,f2_submission_win_rate_before,f2_decision_win_rate_before,f2_ko_tko_loss_rate_before,f2_submission_loss_rate_before,f2_decision_loss_rate_before,f2_slpm_before,f2_striking_accuracy_before,f2_sapm_before,f2_striking_defense_before,f2_td_avg_before,f2_td_accuracy_before,f2_td_defense_before,f2_sub_avg_before,f2_kd_avg_before,f2_kd_absorbed_avg_before,f2_ctrl_avg_before,f2_current_win_streak_before,f2_current_loss_streak_before,f2_recent_3_win_rate_before,f2_recent_5_win_rate_before,f2_days_since_last_fight,diff_height_cm,diff_weight_in_kg,diff_reach_in_cm,diff_age,diff_fights_before,diff_wins_before,diff_losses_before,diff_draws_before,diff_no_contests_before,diff_win_rate_before,diff_ko_tko_win_rate_before,diff_submission_win_rate_before,diff_decision_win_rate_before,diff_ko_tko_loss_rate_before,diff_submission_loss_rate_before,diff_decision_loss_rate_before,diff_slpm_before,diff_striking_accuracy_before,diff_sapm_before,diff_striking_defense_before,diff_td_avg_before,diff_td_accuracy_before,diff_td_defense_before,diff_sub_avg_before,diff_kd_avg_before,diff_kd_absorbed_avg_before,diff_ctrl_avg_before,diff_current_win_streak_before,diff_current_loss_streak_before,diff_recent_3_win_rate_before,diff_recent_5_win_rate_before,diff_days_since_last_fight
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Scott Morris vs. Sean Daugherty,scott morris,sean daugherty,scott morris,sean daugherty,Open Weight Bout,Submission ,No Time Limit,1,177.8,95.25,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,182.88,79.38,,18.26694045174538,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-5.079999999999984,15.870000000000005,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Patrick Smith vs. Ray Wizard,patrick smith,ray wizard,patrick smith,ray wizard,Open Weight Bout,Submission ,No Time Limit,1,187.96,102.06,,30.535249828884325,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Johnny Rhodes vs. David Levicki,johnny rhodes,david levicki,johnny rhodes,david levicki,Open Weight Bout,KO/TKO ,No Time Limit,1,182.88,95.25,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,195.58,124.74,,,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-12.700000000000017,-29.489999999999995,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Frank Hamaker vs. Thaddeus Luster,frank hamaker,thaddeus luster,frank hamaker,thaddeus luster,Open Weight Bout,Submission ,No Time Limit,1,,,,,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,190.5,95.25,,,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Orlando Wiet vs. Robert Lucarelli,orlando wiet,robert lucarelli,orlando wiet,robert lucarelli,Open Weight Bout,KO/TKO ,No Time Limit,1,177.8,77.11,,28.37782340862423,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,187.96,111.13,,,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-10.159999999999997,-34.019999999999996,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Remco Pardoel vs. Alberta Cerra Leon,remco pardoel,alberta cerra leon,remco pardoel,alberta cerra leon,Open Weight Bout,Submission ,No Time Limit,1,190.5,117.93,,24.799452429842574,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,172.72,107.95,,,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,17.78,9.980000000000004,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Jason DeLucia vs. Scott Baker,jason delucia,scott baker,jason delucia,scott baker,Open Weight Bout,Submission ,No Time Limit,1,180.34,86.18,,24.629705681040384,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,182.88,95.25,,,Unknown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-2.539999999999992,-9.069999999999993,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie vs. Minoki Ichihara,royce gracie,minoki ichihara,royce gracie,minoki ichihara,Open Weight Bout,Submission ,No Time Limit,1,185.42,79.38,,27.24435318275154,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,170.18,80.74,,25.694729637234772,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,15.23999999999998,-1.3599999999999994,,1.5496235455167664,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Patrick Smith vs. Scott Morris,patrick smith,scott morris,patrick smith,scott morris,Open Weight Bout,KO/TKO ,No Time Limit,1,187.96,102.06,,30.535249828884325,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,177.8,95.25,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,10.159999999999997,6.810000000000002,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Johnny Rhodes vs. Fred Ettish,johnny rhodes,fred ettish,johnny rhodes,fred ettish,Open Weight Bout,Submission ,No Time Limit,1,182.88,95.25,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,182.88,81.65,,38.41204654346338,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,13.599999999999994,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
